Page 1:  
**PHỤ LỤC QUY CHẾ CÔNG TÁC SINH VIÊN:  
NHỮNG ĐIỀU SINH VIÊN KHÔNG ĐƯỢC LÀM; NỘI DUNG VI PHẠM VÀ HÌNH THỨC XỬ LÝ SINH VIÊN**

*Hình thức xử lý:*  
(1): Nhắc nhở  
(2): Phê bình  
(3): Nghiêm khắc phê bình  
(4): Khiển trách  
(5): Cảnh cáo  
(6): Cảnh cáo lần 2  
(7): Đình chỉ học tập có thời hạn  
(8): Buộc thôi học  

| TT | Nội dung vi phạm | Số lần vi phạm và hình thức xử lý (Số lần tính trong cả khóa học) | Ghi chú |
|---|------------------|-------------------------------------------------------------|---------|
| 1 | Hành vi ứng xử không đúng mực, vô lễ với thầy/cô giáo hoặc cán bộ, viên chức, người lao động của Nhà trường | Tùy theo mức độ, xử lý từ khiển trách đến buộc thôi học |  |
| 2 | Không chào hỏi người lớn trong Trường | Lần 1, Lần 2, Lần 3, Lần 4, Lần 5, Lần 6, Lần 7 |  |
| 3 | Tặng quà, tiền, phẩm vật cho giảng viên - viên chức của Trường dưới bất kỳ hình thức nào | Tùy theo mức độ, xử lý từ đình chỉ học tập có thời hạn đến buộc thôi học |  |
| 4 | Vi phạm quyền tác giả với tác phẩm hoặc sử dụng giai điệu Hành khúc Đại học Tôn Đức Thắng không đúng mục đích | Tùy theo mức độ, xử lý từ nhắc nhở đến buộc thôi học |  |
| 5 | - Sử dụng các phương tiện truyền thông (bao gồm và không giới hạn các phương tiện như báo chí, mạng internet, mạng xã hội…) để đưa thông tin không đúng sự thật (không có minh chứng) hoặc những thông tin có minh chứng nhưng sử dụng từ ngữ không chuẩn mực gây ảnh hưởng đến uy tín Nhà trường, giảng viên - viên chức. <br> - Đưa hình ảnh phản cảm lên mạng xã hội làm ảnh hưởng đến uy tín và hình ảnh Nhà trường | Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học |  |
| 6 | Sử dụng mạng xã hội và các phương tiện truyền thông khác viết nội dung có nhắc đến tên Trường mang thái độ châm biếm | Tùy theo mức độ, xử lý từ phê bình đến buộc thôi học |  |
| 7 | Nhận được thông tin chưa kiểm chứng, chưa báo cáo khoa quản lý đã chia sẻ, phát tán thông tin cho người khác hoặc phản ánh thông tin về Nhà trường, thầy/cô không chính xác khi chưa tìm hiểu hoặc phát ngôn không đúng sự thật hoặc phản ánh lại nội dung đã được Nhà trường giải quyết | Tùy theo mức độ, xử lý từ khiển trách đến buộc thôi học |  |

Page 2:  
| TT | Nội dung vi phạm | Số lần vi phạm và hình thức xử lý (Số lần tính trong cả khóa học) | Ghi chú |
|---|------------------|-------------------------------------------------------------|---------|
| 8 | - Trường hợp vi phạm nội quy, quy định của Nhà trường; thầy/cô, giám thị nhắc nhở nhưng vẫn cố tình không chấp hành hoặc thái độ không đúng mực. <br> - Bỏ chạy khi bị lập biên bản hoặc viết/vẽ nội dung không đúng mực vào biên bản xử lý sinh viên vi phạm | Tùy theo mức độ, xử lý từ cảnh cáo đến buộc thôi học |  |
| 9 | Văng tục, chửi thề, sử dụng từ ngữ không lịch sự trong Trường | Tùy theo mức độ, xử lý từ khiển trách đến buộc thôi học |  |
| 10 | Mượn thẻ hoặc cho người khác mượn thẻ sinh viên để sử dụng | Lần 1, Lần 2, Lần 3, Lần 4 |  |
| 11 | Không đeo thẻ sinh viên trong Trường | Lần 1, Lần 2, Lần 3, Lần 4, Lần 5, Lần 6 |  |
| 12 | Các trường hợp làm lại thẻ sinh viên nhưng không theo dõi thời hạn để nhận lại thẻ | Lần 1, Lần 2, Lần 3, Lần 4, Lần 5, Lần 6, Lần 7 |  |
| 13 | - Mang dép lê <br> - Trang phục không lịch sự, không gọn gàng, không phù hợp với môi trường giáo dục <br> - Không thực hiện đúng quy định về mặc trang phục truyền thống | Lần 1, Lần 2, Lần 3, Lần 4, Lần 5, Lần 6, Lần 7, Lần 8 | Xử lý ngay ở lần 1 mức nghiêm khắc phê bình khi sinh viên vi phạm cùng lúc 2 lỗi trở lên |
| 14 | Màu tóc khác biệt với số đông | - Vi phạm lần đầu: Khoa giáo dục, chấn chỉnh sinh viên <br> - Trường hợp tiếp tục vi phạm sẽ xử lý từ mức phê bình trở lên |  |
| 15 | Mang đồ ăn, thức uống vào phòng học, thư viện | Lần 1, Lần 2, Lần 3, Lần 4, Lần 5, Lần 6, Lần 7 |  |     
