STT,Mã ngành,Ngành/Chương trình,Điểm PT đánh giá năng lực
---,----------,-----------------------------------------,-------------------------
1,7310101,Ngành Kinh tế,900
2,7310104,Ngành Kinh tế đầu tư,870
3,7340116,Ngành Bất động sản,850
4,7340404,Ngành Quản trị nhân lực,900
5,7620114,Ngành Kinh doanh nông nghiệp,800
6,7340101,Ngành Quản trị kinh doanh,860
7,7340120,Ngành Kinh doanh quốc tế,930
8,7510605,Ngành Logistics và quản lý chuỗi cung ứng,950
9,7340121,Ngành Kinh doanh thương mại,900
10,7340115,Ngành Marketing,940
11,7340201,Ngành Tài chính - Ngân hàng,845
12,7340204,Ngành Bảo hiểm,800
13,7340206,Ngành Tài chính Quốc tế,920
14,7340301,Ngành Kế toán,830
15,7340301_01,Chương trình Kế toán tích hợp,830
16,7340302,Ngành Kiểm toán,890
17,7810103,Ngành Quản trị dịch vụ du lịch và lữ hành,820
18,7810201,Ngành Quản trị khách sạn,820
19,7310108,Ngành Toán kinh tế,800
20,7310107,Ngành Thống kê kinh tế,830
21,7340405,Ngành Hệ thống thông tin quản lý,880
22,7340122,Ngành Thương mại điện tử,940
23,7480109,Ngành Khoa học dữ liệu,920
24,7480103,Ngành Kỹ thuật phần mềm,900
25,7220201,Ngành Ngôn ngữ Anh,860
26,7380107,Ngành Luật kinh tế,860
27,7380101,Ngành Luật,880
28,7340403,Ngành Quản lý công,800
29,7580104,Ngành Kiến trúc đô thị,800
30,7489001,Ngành Công nghệ và đổi mới sáng tạo,800
31,7320106,Ngành Công nghệ truyền thông,910
32,7340129,Ngành Quản trị bệnh viện,850
