STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
---,----------,---------------------------------------------------------------------------------------------------,------------------------------------------------------------------------------------------------------------,----------,--------------------------------------------------
1,7220201,Tiếng Anh thương mại,D01; D02; D03; D04; D05; D06; DD2,68,Điểm tối đa là 100
2,7310101,Kinh tế,A00:A01: D26: D27: D28: D29: D30: AH3: D01: D02: D03: D04: D05: D06: DD2:D07: D21: D22: D23: D24: D25: AH2,69,Điểm tối đa là 100
3,7310102,Kinh tế chính trị,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,55,Điểm tối đa là 100
4,7310104_01,Kinh tế đầu tư,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,62,Điểm tối đa là 100
5,7310104_02,Thẩm định giá và quản trị tài sán,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,50,Điểm tối đa là 100
6,7310107,Thống kê kinh doanh,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,60,Điểm tối đa là 100
7,7310108_01,Toán tài chính,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,59,Điểm tối đa là 100
8,7310108_02,Phân tích rủi ro và định phí bảo hiểm,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,49,Điểm tối đa là 100
9,7320106,Truyền thông số và thiết kế đa phương tiện,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2,77,Điểm tối đa là 100
10,7340101_01,Quán trị kinh doanh,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,55,Điểm tối đa là 100
11,7340101_02,Kinh doanh số,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,68,Điểm tối đa là 100
12,7340101_03,Quản trị bệnh viện,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,50,Điểm tối đa là 100
13,7340115_01,Marketing,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,77,Điểm tối đa là 100
14,7340115_02,Công nghệ marketing,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,73,Điểm tối đa là 100
