STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
---,----------,---------------------------------------------------------------------------------------------------,----------,----------,-------
1,7220201,Tiếng Anh thương mại,,880,
2,7310101,Kinh tế,,920,
3,7310102,Kinh tế chính trị,,830,
4,7310104_01,Kinh tế đầu tư,,870,
5,7310104_02,Thẩm định giá và quản trị tài sản,,820,
6,7310107,Thống kê kinh doanh,,880,
7,7310108_01,Toán tài chính,,880,
8,7310108_02,Phân tích rủi ro và định phí bảo hiểm,,810,
9,7320106,Truyền thông số và thiết kế đa phương tiện,,940,
10,7340101_01,Quản trị kinh doanh,,830,
11,7340101_02,Kinh doanh số,,900,
12,7340101_03,Quản trị bệnh viện,,810,
13,7340115_01,Marketing,,930,
14,7340115_02,Công nghệ marketing,,930,
15,7340116,Bất động sản,,800,
16,7340120,Kinh doanh quốc tế,,930,
17,7340121,Kinh doanh thương mại,,910,
18,7340122,Thương mại điện tử,,945,
19,7340201_01,Tài chính công,,830,
20,7340201_02,Thuế,,820,
21,7340201_03,Ngân hàng,,860,
22,7340201_04,Thị trường chứng khoán,,820,
23,7340201_05,Tài chính,,875,
24,7340201_06,Đầu tư tài chính,,865,
25,7340201_07,Quản trị Hải quan - Ngoại thương,,820,
26,7340204,Bảo hiểm,,800,
27,7340205,Công nghệ tài chính,,935,
28,7340206,Tài chính quốc tế,,920,
29,7340301_01,Chương trình Kế toán tích hợp chứng chỉ nghề nghiệp quốc tế (của tố chức nghề nghiệp ICAEW và ACCA),,820,
30,7340301_02,Kế toán công,,860,
31,7340301_03,Kế toán doanh nghiệp,,835,
32,7340302,Kiểm toán,,930,
33,7340403,Quản lý công,,800,
34,7340404,Quản trị nhân lực,,870,
35,7340405_01,Hệ thống thông tin kinh doanh,,910,
36,7340405_02,Hệ thống hoạch định nguồn lực doanh nghiệp,,830,
37,7380101,Luật kinh doanh quốc tế,,905,
38,7380107,Luật kinh tế,,905,
39,7460108,Khoa học dữ liệu,,950,
40,7480101,Khoa học máy tính,,900,
41,7480103,Kỹ thuật phần mềm,,875,
42,7480107_01,Robot và Trí tuệ nhân tạo (hệ kỹ sư),,900,
43,7480107_02,Điều khiến thông minh và tự động hóa (hệ kỹ sư),,800,
44,7480201_01,Công nghệ thông tin,,850,
45,7480201_02,Công nghệ nghệ thuật (Arttech),,900,
46,7480201_03,Công nghệ và đổi mới sáng tạo,,885,
47,7480202,An toàn thông tin,,800,
48,7510605_01,Logistics và Quản lý chuổi cung ứng,,995,
49,7510605_02,Công nghệ Logistic (hệ kỹ sư),,930,
50,7580104,Kiến trúc và thiết kế đô thị thông minh,,830,
51,7620114,Kinh doanh nông nghiệp,,810,
52,7810103,Quản trị dịch vụ du lịch và lữ hành,,820,
53,7810201_01,Quản trị khách sạn,,850,
54,7810201_02,Quản trị sự kiện và dịch vụ giải trí,,860,
