STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
---,----------,---------------------------------------------------------------------------------------------------,----------,----------,-------------------------------------------
1,7220201,Tiếng Anh thương mại,,66,Xét tuyển học sinh giỏi; điểm tối đa là 100
2,7310101,Kinh tế,,67,Xét tuyển học sinh giỏi; điểm tối đa là 100
3,7310102,Kinh tế chính trị,,53,Xét tuyển học sinh giỏi; điểm tối đa là 100
4,7310104_01,Kinh tế đầu tư,,59,Xét tuyển học sinh giỏi; điểm tối đa là 100
5,7310104_02,Thẩm định giá và quản trị tài sản,,50,Xét tuyển học sinh giỏi; điểm tối đa là 100
6,7310107,Thống kê kinh doanh,,55,Xét tuyển học sinh giỏi; điểm tối đa là 100
7,7310108_01,Toán tài chính,,56,Xét tuyển học sinh giỏi; điểm tối đa là 100
8,7310108_02,Phân tích rủi ro và định phí bảo hiểm,,48,Xét tuyển học sinh giỏi; điểm tối đa là 100
9,7320106,Truyền thông số và thiết kế đa phương tiện,,76,Xét tuyển học sinh giỏi; điểm tối đa là 100
10,7340101_01,Quản trị kinh doanh,,55,Xét tuyển học sinh giỏi; điểm tối đa là 100
11,7340101_02,Kinh doanh số,,65,Xét tuyển học sinh giỏi; điểm tối đa là 100
12,7340101_03,Quản trị bệnh viện,,50,Xét tuyển học sinh giỏi; điểm tối đa là 100
13,7340115_01,Marketing,,76,Xét tuyển học sinh giỏi; điểm tối đa là 100
14,7340115_02,Công nghệ marketing,,72,Xét tuyển học sinh giỏi; điểm tối đa là 100
15,7340116,Bất động sản,,50,Xét tuyển học sinh giỏi; điểm tối đa là 100
16,7340120,Kinh doanh quốc tế,,71,Xét tuyển học sinh giỏi; điểm tối đa là 100
17,7340121,Kinh doanh thương mại,,68,Xét tuyển học sinh giỏi; điểm tối đa là 100
18,7340122,Thương mại điện tử,,70,Xét tuyển học sinh giỏi; điểm tối đa là 100
19,7340201_01,Tài chính công,,54,Xét tuyển học sinh giỏi; điểm tối đa là 100
20,7340201_02,Thuế,,52,Xét tuyển học sinh giỏi; điểm tối đa là 100
21,7340201_03,Ngân hàng,,59,Xét tuyển học sinh giỏi; điểm tối đa là 100
22,7340201_04,Thị trường chứng khoán,,50,Xét tuyển học sinh giỏi; điểm tối đa là 100
23,7340201_05,Tài chính,,63,Xét tuyển học sinh giỏi; điểm tối đa là 100
24,7340201_06,Đầu tư tài chính,,59,Xét tuyển học sinh giỏi; điểm tối đa là 100
25,7340201_07,Quản trị Hải quan - Ngoại thương,,53,Xét tuyển học sinh giỏi; điểm tối đa là 100
26,7340204,Bảo hiểm,,48,Xét tuyển học sinh giỏi; điểm tối đa là 100
27,7340205,Công nghệ tài chính,,67,Xét tuyển học sinh giỏi; điểm tối đa là 100
28,7340206,Tài chính quốc tế,,70,Xét tuyển học sinh giỏi; điểm tối đa là 100
29,7340301_01,Chương trình Kế toán tích hợp chứng chỉ nghề nghiệp quốc tế (của tố chức nghề nghiệp ICAEW và ACCA),,61,Xét tuyển học sinh giỏi; điểm tối đa là 100
30,7340301_02,Kế toán công,,56,Xét tuyển học sinh giỏi; điểm tối đa là 100
31,7340301_03,Kế toán doanh nghiệp,,53,Xét tuyển học sinh giỏi; điểm tối đa là 100
32,7340302,Kiểm toán,,68,Xét tuyển học sinh giỏi; điểm tối đa là 100
33,7340403,Quản lý công,,50,Xét tuyển học sinh giỏi; điểm tối đa là 100
34,7340404,Quản trị nhân lực,,64,Xét tuyển học sinh giỏi; điểm tối đa là 100
