STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
---,---,---,---,---,---
1,7220201,Tiếng Anh thương mại,D01;D96,63,
2,7310101,Kinh tế,A00;A01;D01;D07,68,
3,7310102,Kinh tế chính trị,A00;A01;D01;D07,50,
4,7310104_01,Kinh tế đầu tư,A00;A01;D01;D07,60,
5,7310104_02,Thẩm định giá và quản trị tài sản,A00;A01;D01;D07,47,
6,7310107,Thống kê kinh doanh,A00;A01;D01;D07,56,
7,7310108_01,Toán tài chính,A00;A01;D01;D07,55,
8,7310108_02,Phân tích rủi ro và định phí bảo hiểm,A00;A01;D01;D07,48,
9,7320106,Truyền thông số và Thiết kế đa phương tiện,A00;A01;D01;V00,73,
10,7340101_01,Quản trị,A00;A01;D01;D07,55,
11,7340101_02,Quản trị khởi nghiệp,A00;A01;D01;D07,50,
12,7340114_td,Công nghệ marketing,A00;A01;D01;D07,72,
13,7340115,Marketing,A00;A01;D01;D07,74,
14,7340116,Bất động sản,A00;A01;D01;D07,53,
15,7340120,Kinh doanh quốc tế,A00;A01;D01;D07,70,
16,7340121,Kinh doanh thương mại,A00;A01;D01;D07,68,
17,7340122,Thương mại điện tử,A00;A01;D01;D07,71,
18,7340129_td,Quản trị bệnh viện,A00;A01;D01;D07,48,
19,7340201_01,Tài chính công,A00;A01;D01;D07,49,
20,7340201_02,Thuế,A00;A01;D01;D07,47,
21,7340201_03,Ngân hàng,A00;A01;D01;D07,60,
22,7340201_04,Thị trường chứng khoán,A00;A01;D01;D07,47,
23,7340201_05,Tài chính,A00;A01;D01;D07,61,
24,7340201_06,Đầu tư tài chính,A00;A01;D01;D07,57,
25,7340204,Bảo hiểm,A00;A01;D01;D07,50,
26,7340205,Công nghệ tài chính,A00;A01;D01;D07,68,
27,7340206,Tài chính quốc tế,A00;A01;D01;D07,71,
28,7340301_01,Chương trình Kế toán tích hợp chứng chỉ nghề nghiệp quốc tế,A00;A01;D01;D07,58,
29,7340301_02,Kế toán công,A00;A01;D01;D07,55,
30,7340301_03,Kế toán doanh ngiệp,A00;A01;D01;D07,55,
31,7340302,Kiểm toán,A00;A01;D01;D07,67,
32,7340403,Quản lý công,A00;A01;D01;D07,51,
33,7340404,Quản trị nhân lực,A00;A01;D01;D07,66,
34,7340405_01,Hệ thống thông tin kinh doanh,A00;A01;D01;D07,65,
35,7340405_02,Hệ thống hoạch định nguồn lực doanh nghiệp,A00;A01;D01;D07,50,
36,7340415_td,Kinh doanh số,A00;A01;D01;D07,63,
37,7380101,Luật kinh doanh quốc tế,A00;A01;D01;D96,68,
38,7380107,Luật kinh tế,A00;A01;D01;D96,63,
39,7460108,Khoa học dữ liệu,A00;A01;D01;D07,71,
40,7480103,Kỹ thuật phần mềm,A00;A01;D01;D07,65,
41,7480107,Robot và Trí tuệ nhân tạo (hệ kỹ sư),A00;A01;D01;D07,61,
42,7489001,Công nghệ và đổi mới sáng tạo,A00;A01;D01;D07,57,
43,7510605_01,Logistics và quản lý chuỗi cung ứng,A00;A01;D01;D07,77,
44,7510605_02,Công nghệ Logistics (hệ kỹ sư),A00;A01;D01;D07,66,
45,7580104,Kiến trúc và thiết kế đô thị thông minh,A00;A01;D01;V00,53,
46,7620114,Kinh doanh nông nghiệp,A00;A01;D01;D07,54,
47,7810103,Quản trị dịch vụ du lịch và lữ hành,A00;A01;D01;D07,55,
48,7810201_01,Quản trị khách sạn,A00;A01;D01;D07,56,
49,7810201_02,Quản trị sự kiện và dịch vụ giải trí,A00;A01;D01;D07,61,
